text,label
Sadness is consuming me.,sad
There’s no joy in anything I do.,depressed
What a wonderful morning it is!,happy
I care about you deeply.,love
You make everything better.,love
I'm in such a good mood today.,happy
I feel incredibly optimistic.,happy
Why does no one listen to me?,angry
I’m losing my temper easily.,angry
Feeling on top of the world today!,happy
I feel so disconnected from everything,depressed
I'm so excited to meet my friends,happy
Why does everything feel so heavy?,anxious
I just want to be left alone,sad
I love how peaceful it is tonight.,love
Things are neither good nor bad.,neutral
I'm feeling okay.,neutral
Tears just keep falling.,sad
I'm scared about tomorrow.,anxious
I’m fuming inside.,angry
why are you hating me.,
I am still loving you.,love
These flowers contains good smell.,happy
These environment is very pleasant.,happy
Even small tasks feel overwhelming.,depressed
I'm feeling really down today.,sad
i am sad.,sad
My heart is full of love.,love
I am not happy.,sad
I do not love you.,sad
i feel no joy.,depressed
i am not excited.,neutral
i kiss you.,love
I am enjoying.,happy
I can't stop worrying.,anxious
Nothing exciting is happening.,neutral
I keep overthinking everything.,anxious
I care about you deeply.,love
I'm scared about tomorrow.,anxious
I feel incredibly optimistic.,happy
My patience is gone.,angry
I don’t have the energy for anything.,depressed
I'm feeling really down today.,sad
I can’t take this pain anymore.,depressed
I can't stop worrying.,anxious
Nothing exciting is happening.,neutral
My heart is full of love.,love
There’s a heavy weight on my heart.,sad
What a wonderful morning it is!,happy
Just a normal day.,neutral
Why does no one listen to me?,angry
I’m restless and uneasy.,anxious
I'm feeling really down today.,sad
There’s a heavy weight on my heart.,sad
I'm so mad I can't think straight.,angry
You make everything better.,love
You're always on my mind.,love
"I'm feeling okay, nothing special.",neutral
I can't stop crying.,sad
I’m just getting by today.,neutral
I feel so connected with you.,love
I’m restless and uneasy.,anxious
I can’t take this pain anymore.,depressed
My heart is racing for no reason.,anxious
My heart is full of love.,love
I don’t have the energy for anything.,depressed
I feel so happy and energized today!,happy
I’m so grateful to have you.,love
I just want to be alone.,sad
I’m losing my temper easily.,angry
I'm mentally exhausted all the time.,depressed
Even small tasks feel overwhelming.,depressed
I feel like I’m about to explode.,angry
My heart is racing for no reason.,anxious
I’m losing my temper easily.,angry
I can't stop crying.,sad
I'm going through the motions.,neutral
I can't stop crying.,sad
Just a normal day.,neutral
I’m just getting by today.,neutral
Even small tasks feel overwhelming.,depressed
I feel like giving up.,depressed
I don’t have the energy for anything.,depressed
I care about you deeply.,love
Sadness is consuming me.,sad
There’s no joy in anything I do.,depressed
I feel safe when I'm with you.,love
My heart is racing for no reason.,anxious
You make everything better.,love
I’m constantly on edge.,anxious
I can’t take this pain anymore.,depressed
I care about you deeply.,love
I feel so connected with you.,love
My heart is racing for no reason.,anxious
I feel like I’m about to explode.,angry
"Today was fine, not great, not terrible.",neutral
I can't stop worrying.,anxious
Everything feels so heavy.,sad
Everything feels so heavy.,sad
I feel so connected with you.,love
Smiling is effortless today.,happy
I’m restless and uneasy.,anxious
I feel safe when I'm with you.,love
I keep overthinking everything.,anxious
I feel abandoned and helpless.,sad
I’m just getting by today.,neutral
No one understands what I’m going through.,depressed
I feel like I’m about to explode.,angry
Tears just keep falling.,sad
My thoughts won’t slow down.,anxious
A plain and ordinary day.,neutral
Everything feels so heavy.,sad
You're always on my mind.,love
Just a normal day.,neutral
I feel so happy and energized today!,happy
Things are neither good nor bad.,neutral
I don’t have the energy for anything.,depressed
I'm in such a good mood today.,happy
Smiling is effortless today.,happy
"Today was fine, not great, not terrible.",neutral
I'm scared about tomorrow.,anxious
I feel emotionally numb.,depressed
Laughing with my friends was the best part of my day.,happy
The sunshine matches my mood.,happy
Nothing exciting is happening.,neutral
Being with you feels perfect.,love
Laughing with my friends was the best part of my day.,happy
